"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"43","(default)","src/ImportExtractor.java","4","7","Avoid unused imports such as 'java.util.Scanner'","Type Resolution Rules","UnusedImports"
"44","(default)","src/ImportExtractor.java","4","7","Avoid unused imports such as 'java.util.Scanner'","Type Resolution Rules","UnusedImports"
"45","(default)","src/ImportExtractor.java","3","12","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"46","(default)","src/ImportExtractor.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"47","(default)","src/ImportExtractor.java","3","15","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"48","(default)","src/ImportExtractor.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"49","(default)","src/ImportExtractor.java","3","16","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"50","(default)","src/ImportExtractor.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"51","(default)","src/ImportExtractor.java","3","17","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"52","(default)","src/ImportExtractor.java","1","17","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"53","(default)","src/ImportExtractor.java","3","19","Parameter 'outFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","(default)","src/ImportExtractor.java","3","19","Parameter 'projDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","(default)","src/ImportExtractor.java","3","25","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"56","(default)","src/ImportExtractor.java","3","27","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"57","(default)","src/ImportExtractor.java","1","31","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"58","(default)","src/ImportExtractor.java","3","31","Parameter 'classFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"59","(default)","src/ImportExtractor.java","3","36","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","(default)","src/ImportExtractor.java","3","37","Avoid variables with short names like in","Naming Rules","ShortVariable"
"61","(default)","src/ImportExtractor.java","5","37","Found 'DD'-anomaly for variable 'in' (lines '37'-'38').","Controversial Rules","DataflowAnomalyAnalysis"
"62","(default)","src/ImportExtractor.java","3","39","Avoid variables with short names like cu","Naming Rules","ShortVariable"
"63","(default)","src/ImportExtractor.java","3","39","Local variable 'cu' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"64","(default)","src/ImportExtractor.java","3","40","Local variable 'imports' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"65","(default)","src/ImportExtractor.java","3","46","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"66","(default)","src/ImportExtractor.java","1","50","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"67","(default)","src/ImportExtractor.java","3","50","Parameter 'projectDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","(default)","src/ImportExtractor.java","3","53","Local variable 'fileDir' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"69","(default)","src/ImportExtractor.java","3","62","Avoid unused local variables such as 'mycount'.","Unused Code Rules","UnusedLocalVariable"
"70","(default)","src/ImportExtractor.java","5","62","Found 'DD'-anomaly for variable 'mycount' (lines '62'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"71","(default)","src/ImportExtractor.java","5","62","Found 'DU'-anomaly for variable 'mycount' (lines '62'-'84').","Controversial Rules","DataflowAnomalyAnalysis"
"72","(default)","src/ImportExtractor.java","3","85","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"73","(default)","src/ImportExtractor.java","2","96","System.out.print is used","Java Logging Rules","SystemPrintln"
"74","(default)","src/ImportExtractor.java","2","97","System.out.print is used","Java Logging Rules","SystemPrintln"
"75","(default)","src/ImportExtractor.java","2","102","System.out.print is used","Java Logging Rules","SystemPrintln"
"76","(default)","src/JavaParseDemoTest.java","4","3","Avoid unused imports such as 'japa.parser.ASTHelper'","Type Resolution Rules","UnusedImports"
"77","(default)","src/JavaParseDemoTest.java","4","3","Avoid unused imports such as 'japa.parser.ASTHelper'","Type Resolution Rules","UnusedImports"
"78","(default)","src/JavaParseDemoTest.java","4","5","Avoid unused imports such as 'japa.parser.ParseException'","Type Resolution Rules","UnusedImports"
"79","(default)","src/JavaParseDemoTest.java","4","5","Avoid unused imports such as 'japa.parser.ParseException'","Type Resolution Rules","UnusedImports"
"80","(default)","src/JavaParseDemoTest.java","4","7","Avoid unused imports such as 'japa.parser.ast.expr.NameExpr'","Type Resolution Rules","UnusedImports"
"81","(default)","src/JavaParseDemoTest.java","4","7","Avoid unused imports such as 'japa.parser.ast.expr.NameExpr'","Type Resolution Rules","UnusedImports"
"82","(default)","src/JavaParseDemoTest.java","3","10","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"83","(default)","src/JavaParseDemoTest.java","3","10","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"84","(default)","src/JavaParseDemoTest.java","3","15","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"85","(default)","src/JavaParseDemoTest.java","3","18","Avoid variables with short names like in","Naming Rules","ShortVariable"
"86","(default)","src/JavaParseDemoTest.java","5","18","Found 'DD'-anomaly for variable 'in' (lines '18'-'23').","Controversial Rules","DataflowAnomalyAnalysis"
"87","(default)","src/JavaParseDemoTest.java","3","19","Local variable 'fileName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"88","(default)","src/JavaParseDemoTest.java","3","20","Avoid variables with short names like cu","Naming Rules","ShortVariable"
"89","(default)","src/JavaParseDemoTest.java","5","20","Found 'DD'-anomaly for variable 'cu' (lines '20'-'24').","Controversial Rules","DataflowAnomalyAnalysis"
"90","(default)","src/JavaParseDemoTest.java","3","25","Local variable 'visitor' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"91","(default)","src/JavaParseDemoTest.java","2","30","System.out.print is used","Java Logging Rules","SystemPrintln"
"92","(default)","src/MethodVisitor.java","4","1","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"93","(default)","src/MethodVisitor.java","4","1","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"94","(default)","src/MethodVisitor.java","4","15","Avoid unused imports such as 'com.hp.hpl.jena.util.FileManager'","Type Resolution Rules","UnusedImports"
"95","(default)","src/MethodVisitor.java","4","15","Avoid unused imports such as 'com.hp.hpl.jena.util.FileManager'","Type Resolution Rules","UnusedImports"
"96","(default)","src/MethodVisitor.java","4","16","Avoid unused imports such as 'com.hp.hpl.jena.vocabulary'","Type Resolution Rules","UnusedImports"
"97","(default)","src/MethodVisitor.java","3","19","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"98","(default)","src/MethodVisitor.java","3","19","The class 'MethodVisitor' has a Cyclomatic Complexity of 4 (Highest = 11).","Code Size Rules","CyclomaticComplexity"
"99","(default)","src/MethodVisitor.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"100","(default)","src/MethodVisitor.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"101","(default)","src/MethodVisitor.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"102","(default)","src/MethodVisitor.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"103","(default)","src/MethodVisitor.java","3","24","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"104","(default)","src/MethodVisitor.java","3","25","Avoid variables with short names like ns","Naming Rules","ShortVariable"
"105","(default)","src/MethodVisitor.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"106","(default)","src/MethodVisitor.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"107","(default)","src/MethodVisitor.java","3","27","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"108","(default)","src/MethodVisitor.java","3","35","Avoid variables with short names like n","Naming Rules","ShortVariable"
"109","(default)","src/MethodVisitor.java","3","35","Parameter 'arg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","(default)","src/MethodVisitor.java","3","35","Parameter 'n' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","(default)","src/MethodVisitor.java","2","41","System.out.print is used","Java Logging Rules","SystemPrintln"
"112","(default)","src/MethodVisitor.java","3","46","Local variable 'block' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","(default)","src/MethodVisitor.java","2","47","System.out.print is used","Java Logging Rules","SystemPrintln"
"114","(default)","src/MethodVisitor.java","2","50","System.out.print is used","Java Logging Rules","SystemPrintln"
"115","(default)","src/MethodVisitor.java","3","56","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"116","(default)","src/MethodVisitor.java","3","57","Avoid variables with short names like fs","Naming Rules","ShortVariable"
"117","(default)","src/MethodVisitor.java","3","57","Local variable 'fs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"118","(default)","src/MethodVisitor.java","3","59","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"119","(default)","src/MethodVisitor.java","1","68","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"120","(default)","src/MethodVisitor.java","3","68","Parameter 'block' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"121","(default)","src/MethodVisitor.java","3","68","The method 'handle_the_block' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"122","(default)","src/MethodVisitor.java","3","72","Local variable 'mylist' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"123","(default)","src/MethodVisitor.java","3","84","Avoid variables with short names like b","Naming Rules","ShortVariable"
"124","(default)","src/MethodVisitor.java","3","84","Local variable 'b' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"125","(default)","src/MethodVisitor.java","3","91","Avoid variables with short names like b","Naming Rules","ShortVariable"
"126","(default)","src/MethodVisitor.java","3","121","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"127","(default)","src/MethodVisitor.java","3","133","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"128","(default)","src/MethodVisitor.java","1","139","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"129","(default)","src/MethodVisitor.java","3","139","Parameter 'stmt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"130","(default)","src/MethodVisitor.java","2","145","System.out.print is used","Java Logging Rules","SystemPrintln"
"131","(default)","src/MethodVisitor.java","2","148","System.out.print is used","Java Logging Rules","SystemPrintln"
"132","(default)","src/MethodVisitor.java","3","156","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"133","(default)","src/MethodVisitor.java","1","162","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"134","(default)","src/MethodVisitor.java","3","162","Parameter 'stmt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"135","(default)","src/MethodVisitor.java","3","182","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"136","(default)","src/MethodVisitor.java","1","190","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"137","(default)","src/MethodVisitor.java","1","218","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"138","(default)","src/MethodVisitor.java","3","222","Avoid empty try blocks","Basic Rules","EmptyTryBlock"
"139","(default)","src/MethodVisitor.java","3","276","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"140","(default)","src/PKMGTest.java","4","3","Avoid unused imports such as 'com.hp.hpl.jena.graph.impl.AllCapabilities'","Type Resolution Rules","UnusedImports"
"141","(default)","src/PKMGTest.java","4","3","Avoid unused imports such as 'com.hp.hpl.jena.graph.impl.AllCapabilities'","Type Resolution Rules","UnusedImports"
"142","(default)","src/PKMGTest.java","3","7","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"143","(default)","src/PKMGTest.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"144","(default)","src/PKMGTest.java","3","12","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"145","(default)","src/PKMGTest.java","3","16","Local variable 'pkg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"146","(default)","src/PKMGTest.java","3","17","Local variable 'packageName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"147","(default)","src/PKMGTest.java","3","18","Local variable 'allClasses' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"148","(default)","src/PKMGTest.java","2","19","System.out.print is used","Java Logging Rules","SystemPrintln"
"149","(default)","src/PKMGTest.java","2","22","System.out.print is used","Java Logging Rules","SystemPrintln"
"150","(default)","src/PKMGTest.java","2","23","System.out.print is used","Java Logging Rules","SystemPrintln"
"151","(default)","src/PackageListManager.java","4","3","Avoid unused imports such as 'java.lang.reflect.Constructor'","Type Resolution Rules","UnusedImports"
"152","(default)","src/PackageListManager.java","4","3","Avoid unused imports such as 'java.lang.reflect.Constructor'","Type Resolution Rules","UnusedImports"
"153","(default)","src/PackageListManager.java","4","4","Avoid unused imports such as 'java.lang.reflect.Field'","Type Resolution Rules","UnusedImports"
"154","(default)","src/PackageListManager.java","4","4","Avoid unused imports such as 'java.lang.reflect.Field'","Type Resolution Rules","UnusedImports"
"155","(default)","src/PackageListManager.java","4","5","Avoid unused imports such as 'java.lang.reflect.Method'","Type Resolution Rules","UnusedImports"
"156","(default)","src/PackageListManager.java","4","5","Avoid unused imports such as 'java.lang.reflect.Method'","Type Resolution Rules","UnusedImports"
"157","(default)","src/PackageListManager.java","4","6","Avoid unused imports such as 'java.lang.reflect.Member'","Type Resolution Rules","UnusedImports"
"158","(default)","src/PackageListManager.java","4","6","Avoid unused imports such as 'java.lang.reflect.Member'","Type Resolution Rules","UnusedImports"
"159","(default)","src/PackageListManager.java","4","7","Avoid unused imports such as 'com.google.common.base.Predicate'","Type Resolution Rules","UnusedImports"
"160","(default)","src/PackageListManager.java","4","7","Avoid unused imports such as 'com.google.common.base.Predicate'","Type Resolution Rules","UnusedImports"
"161","(default)","src/PackageListManager.java","3","24","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"162","(default)","src/PackageListManager.java","1","32","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"163","(default)","src/PackageListManager.java","3","32","Parameter 'packageName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","(default)","src/PackageListManager.java","5","36","Found 'DD'-anomaly for variable 'allClasses' (lines '36'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"165","(default)","src/PackageListManager.java","3","41","Local variable 'classLoadersList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","(default)","src/PackageListManager.java","3","45","Local variable 'reflections' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"167","(default)","src/PackageListManager.java","3","66","Avoid unused local variables such as 'showed'.","Unused Code Rules","UnusedLocalVariable"
"168","(default)","src/PackageListManager.java","5","66","Found 'DD'-anomaly for variable 'showed' (lines '66'-'75').","Controversial Rules","DataflowAnomalyAnalysis"
"169","(default)","src/PackageListManager.java","5","66","Found 'DU'-anomaly for variable 'showed' (lines '66'-'90').","Controversial Rules","DataflowAnomalyAnalysis"
"170","(default)","src/PackageListManager.java","5","75","Found 'DD'-anomaly for variable 'showed' (lines '75'-'75').","Controversial Rules","DataflowAnomalyAnalysis"
"171","(default)","src/PackageListManager.java","5","75","Found 'DU'-anomaly for variable 'showed' (lines '75'-'90').","Controversial Rules","DataflowAnomalyAnalysis"
"172","(default)","src/PackageListManager.java","3","76","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"173","(default)","src/PackageListManager.java","3","85","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"174","(default)","src/PackageStats.java","4","4","Avoid unused imports such as 'java.util.Iterator'","Type Resolution Rules","UnusedImports"
"175","(default)","src/PackageStats.java","4","4","Avoid unused imports such as 'java.util.Iterator'","Type Resolution Rules","UnusedImports"
"176","(default)","src/PackageStats.java","3","8","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"177","(default)","src/PackageStats.java","3","8","The class 'PackageStats' has a Cyclomatic Complexity of 8 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"178","(default)","src/PackageStats.java","1","15","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"179","(default)","src/PackageStats.java","3","20","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"180","(default)","src/PackageStats.java","3","21","Local variable 'file2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"181","(default)","src/PackageStats.java","3","22","Local variable 'writer' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"182","(default)","src/PackageStats.java","3","23","Local variable 'scanner' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"183","(default)","src/PackageStats.java","3","24","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"184","(default)","src/PackageStats.java","3","27","Local variable 'line' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"185","(default)","src/PackageStats.java","5","32","Found 'DD'-anomaly for variable 'count' (lines '32'-'33').","Controversial Rules","DataflowAnomalyAnalysis"
"186","(default)","src/PackageStats.java","2","50","System.out.print is used","Java Logging Rules","SystemPrintln"
"187","(default)","src/PackageStats.java","2","53","System.out.print is used","Java Logging Rules","SystemPrintln"
"188","(default)","src/PackageStats.java","1","57","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"189","(default)","src/PackageStats.java","3","57","The method 'create_compact_package' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"190","(default)","src/PackageStats.java","3","66","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"191","(default)","src/PackageStats.java","5","76","Found 'DD'-anomaly for variable '_line' (lines '76'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"192","(default)","src/PackageStats.java","2","78","System.out.print is used","Java Logging Rules","SystemPrintln"
"193","(default)","src/PackageStats.java","3","89","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"194","(default)","src/PackageStats.java","5","96","Found 'DD'-anomaly for variable '_line' (lines '96'-'97').","Controversial Rules","DataflowAnomalyAnalysis"
"195","(default)","src/PackageStats.java","2","98","System.out.print is used","Java Logging Rules","SystemPrintln"
"196","(default)","src/PackageStats.java","3","109","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"197","(default)","src/PackageStats.java","2","120","System.out.print is used","Java Logging Rules","SystemPrintln"
"198","(default)","src/PackageStats.java","3","121","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"199","(default)","src/PackageStats.java","3","129","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"200","(default)","src/RegexChecker.java","3","5","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"201","(default)","src/RegexChecker.java","1","12","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"202","(default)","src/RegexChecker.java","3","12","Parameter 'content' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"203","(default)","src/RegexChecker.java","3","17","Local variable 'lines' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"204","(default)","src/RegexChecker.java","2","18","System.out.print is used","Java Logging Rules","SystemPrintln"
"205","(default)","src/RegexChecker.java","2","21","System.out.print is used","Java Logging Rules","SystemPrintln"
"206","(default)","src/RegexChecker.java","1","29","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"207","(default)","src/RegexChecker.java","3","29","Parameter 'xml_file_name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"208","(default)","src/RegexChecker.java","3","34","Local variable 'xmlFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"209","(default)","src/RegexChecker.java","3","35","Local variable 'factory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"210","(default)","src/RegexChecker.java","3","36","Local variable 'builder' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"211","(default)","src/RegexChecker.java","3","37","Local variable 'xmldoc' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"212","(default)","src/RegexChecker.java","3","40","Avoid unused local variables such as 'row_added'.","Unused Code Rules","UnusedLocalVariable"
"213","(default)","src/RegexChecker.java","5","40","Found 'DU'-anomaly for variable 'row_added' (lines '40'-'53').","Controversial Rules","DataflowAnomalyAnalysis"
"214","(default)","src/RegexChecker.java","3","44","Avoid variables with short names like e","Naming Rules","ShortVariable"
"215","(default)","src/RegexChecker.java","2","51","System.out.print is used","Java Logging Rules","SystemPrintln"
"216","(default)","src/RegexChecker.java","3","56","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"217","garbagemanager","src/garbagemanager/ManageGarbage.java","1","9","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"218","garbagemanager","src/garbagemanager/ManageGarbage.java","3","9","Parameter 'projDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"219","garbagemanager","src/garbagemanager/ManageGarbage.java","3","14","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"220","garbagemanager","src/garbagemanager/ManageGarbage.java","3","17","Local variable 'files' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"221","garbagemanager","src/garbagemanager/ManageGarbage.java","3","41","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"222","garbagemanager","src/garbagemanager/ManageGarbage.java","3","44","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"223","garbagemanager","src/garbagemanager/ManageGarbage.java","3","48","Local variable 'projDir' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
